frameNUM,carID,carCenterX,carCenterY,carW,carL,course,headX,headY,tailX,tailY,lostCountert,boundingBox1X,boundingBox1Y,boundingBox2X,boundingBox2Y,boundingBox3X,boundingBox3Y,boundingBox4X,boundingBox4Y,Lat,Lng
8,4,697,1198,43.41088104,115.6672974,106.0399399,750,1213,643,1182,0,746,1236,634,1204,646,1163,758,1195,28.17208511,113.0499923
8,5,3673,685,45.35368347,109.6696472,105.9453964,3725,700,3620,670,1,3718,724,3613,694,3625,652,3730,682,28.17203728,113.0498813
8,6,131,154,39.45799255,99.83181763,130.2363548,166,184,95,124,1,156,204,81,140,106,110,182,174,28.17221323,113.0513476
8,7,1981,159,40.72935486,89.51972198,171.2538376,1988,205,1973,113,1,1967,204,1954,115,1994,109,2008,197,28.17206524,113.0515065
8,8,126,1542,43.53930664,73.97000122,109.6538239,162,1555,90,1529,1,154,1578,85,1553,100,1512,168,1536,28.17223306,113.0522732
8,9,2831,520,40.42309189,87.48017883,113.0851288,2888,544,2774,495,1,2868,559,2762,514,2779,474,2885,519,28.17205983,113.0513619
8,10,1647,444,65.13124847,73.96362305,123.6900635,1679,466,1614,422,6,1658,492,1596,451,1633,395,1695,436,28.17199575,113.0518364
8,13,1174,424,51.02036285,97.21325684,33.92979431,1205,378,1143,469,1,1168,478,1125,450,1179,369,1222,397,28.17210584,113.0515472
9,0,2667,1041,44,107,90,2722,1041,2612,1041,1,2611,1063,2611,1019,2718,1019,2718,1063,28.1723233,113.052205
9,1,2481,1055,41.30501175,105.4832382,86.82016993,2534,1052,2428,1058,1,2430,1078,2428,1038,2533,1032,2535,1073,28.17217443,113.0513873
9,2,1743,1378,48.89396667,129.4947815,65.03721237,1806,1348,1679,1408,1,1684,1432,1664,1389,1795,1328,1815,1371,28.17218885,113.0518995
9,3,3016,1314,44.32325363,109.6467209,97.35238647,3070,1320,2962,1307,1,3068,1342,2961,1328,2967,1286,3073,1300,28.17207786,113.0520737
9,4,693,1197,43.41088104,115.6672974,106.504364,746,1212,639,1181,0,742,1235,630,1201,642,1160,754,1194,28.17209772,113.0518374
9,5,3673,687,45.35368347,109.6696472,106.3895416,3725,703,3620,671,1,3718,724,3614,693,3626,651,3730,682,28.17219878,113.0521205
9,6,131,154,39.45799255,99.83181763,130.6012955,166,185,95,123,1,156,204,81,139,106,109,182,174,28.17204089,113.0490932
9,7,1982,158,40.72935486,89.51972198,170.7538872,1989,203,1975,112,1,1968,202,1953,115,1994,108,2008,196,28.17216722,113.0502601
9,8,127,1542,43.53930664,73.97000122,110.7722549,162,1555,91,1529,1,153,1578,85,1552,101,1511,169,1537,28.17211666,113.0522539
9,9,2831,519,40.42309189,87.48017883,113.4286957,2889,544,2773,494,1,2868,558,2763,513,2780,474,2885,520,28.17220327,113.0527152
9,10,1647,444,65.13124847,73.96362305,123.6900635,1679,466,1614,422,7,1658,492,1596,451,1633,395,1695,436,28.17217444,113.0487694
9,13,1174,425,51.02036285,97.21325684,33.92979431,1204,380,1144,469,2,1168,479,1125,451,1179,370,1222,398,28.17220602,113.0488284
10,0,2666,1041,44,107,90,2722,1041,2611,1041,1,2719,1063,2612,1063,2612,1019,2719,1019,28.17184148,113.0489628
10,1,2481,1055,41.30501175,105.4832382,86.98721266,2533,1052,2428,1058,1,2429,1078,2427,1038,2532,1033,2534,1073,28.1720797,113.0490392
10,2,1747,1375,48.89396667,129.4947815,65.22485733,1810,1345,1684,1404,1,1687,1430,1667,1387,1799,1326,1819,1370,28.17223039,113.0496919
10,3,3020,1313,44.32325363,109.6467209,87.27368901,3074,1310,2965,1316,0,3072,1341,2966,1329,2970,1288,3076,1299,28.17214557,113.0487235
10,4,689,1196,43.41088104,115.6672974,285.7511737,637,1181,740,1210,0,735,1234,627,1201,640,1160,747,1193,28.17207969,113.0497846
10,5,3672,686,45.35368347,109.6696472,105.9453964,3725,701,3619,670,1,3718,724,3613,694,3625,651,3730,681,28.1720436,113.049586
10,6,130,155,39.45799255,99.83181763,131.3477783,165,186,94,123,1,155,204,81,139,107,109,181,175,28.17215639,113.0497683
10,7,1981,158,40.72935486,89.51972198,171.2538376,1987,203,1974,113,1,1967,203,1954,115,1994,109,2007,197,28.17215279,113.0491146
10,8,132,1541,43.53930664,73.97000122,111.0375137,169,1555,94,1527,1,154,1579,86,1553,103,1511,171,1537,28.17224122,113.0494231
10,9,2832,519,40.42309189,87.48017883,113.0851364,2889,544,2774,494,1,2869,558,2763,513,2779,474,2885,519,28.17203638,113.0494109
10,10,1647,444,65.13124847,73.96362305,123.6900635,1679,466,1614,422,8,1658,492,1596,451,1633,395,1695,436,28.17219249,113.048972
10,13,1174,425,51.02036285,97.21325684,33.92979431,1204,380,1144,469,3,1168,479,1125,451,1179,370,1222,398,28.17214827,113.0495361
11,0,2666,1041,44,107,90,2722,1041,2611,1041,1,2611,1063,2611,1020,2718,1020,2718,1063,28.1720797,113.0488457
11,1,2481,1056,41.30501175,105.4832382,90,2534,1056,2428,1056,1,2533,1077,2429,1077,2429,1036,2533,1036,28.17225835,113.0507173
11,2,1748,1374,48.89396667,129.4947815,64.35899353,1812,1343,1684,1404,1,1690,1431,1669,1388,1801,1325,1822,1368,28.17199938,113.0500677
